username,has_profile_pic,followers,following,post_count,follow_ratio,bio_length,contains_link,suspicious_keywords_present,mentions_count,emoji_in_bio,is_verified,digit_count_in_username,label
ch.arley6356,FALSE,18,111,0,0.16,0,FALSE,FALSE,0,FALSE,FALSE,4,1
arnab.who.lifts,TRUE,436,3578,6,0.12,85,FALSE,FALSE,1,TRUE,FALSE,0,1
alafiastewart,TRUE,180,6290,44,0.03,17,FALSE,FALSE,0,TRUE,FALSE,0,1
prem_2196,TRUE,69,3094,15,0.02,0,FALSE,FALSE,0,FALSE,FALSE,4,1
kagamishukla_,TRUE,151,806,2,0.19,17,FALSE,FALSE,0,TRUE,FALSE,0,1
theworld_of_wrestling,TRUE,9635,7267,6196,1.33,90,FALSE,FALSE,0,FALSE,FALSE,0,1
spontaneous_dusht,TRUE,504,839,3,0.6,44,FALSE,FALSE,0,FALSE,FALSE,0,1
kicker_and_boxer,TRUE,1858,1614,288,1.15,133,FALSE,FALSE,0,TRUE,FALSE,0,1
15.khn,TRUE,97,357,12,0.27,61,FALSE,FALSE,1,TRUE,FALSE,2,1
anchaaallll,TRUE,504,937,2,0.54,2,FALSE,FALSE,0,TRUE,FALSE,0,1
shivaaaaaaaaaani,TRUE,107,66,15,1.62,3,FALSE,FALSE,0,TRUE,FALSE,0,1
jainamshah0.0,TRUE,183,187,7,0.98,33,FALSE,FALSE,0,TRUE,FALSE,2,1
abdul_sattar8,TRUE,298,534,7,0.56,150,FALSE,FALSE,0,TRUE,FALSE,1,1
sahil_.more,TRUE,919,1008,7,0.91,2,FALSE,FALSE,0,FALSE,FALSE,0,1
mr_raj_kulthe,TRUE,258,238,0,1.08,2,FALSE,FALSE,0,TRUE,FALSE,0,1
arhamfarid3333,TRUE,3191,5670,76,0.56,110,FALSE,FALSE,0,TRUE,FALSE,4,1
jasmeet_5789,FALSE,0,269,4,0,80,FALSE,FALSE,0,TRUE,FALSE,4,1
don_ayan_13,TRUE,307,723,3,0.42,0,FALSE,FALSE,0,FALSE,FALSE,2,1
farzeen_sahil_bhoje,TRUE,793,1368,37,0.58,144,FALSE,TRUE,0,TRUE,FALSE,0,1
shoaib__syd,TRUE,3982,440,0,9.05,0,FALSE,FALSE,0,FALSE,FALSE,0,1
jigs_gada,TRUE,1740,1352,65,1.29,0,FALSE,FALSE,0,FALSE,FALSE,0,1
